Song Name,Streams,Artist,Artist Followers,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Mean It,5110064,"Lauv, LANY",4442273.0,2020-03-06,72.0,0.746,0.45,-8.543,0.0872,0.0407,0.172,95.998,232853.0,0.336
That Way,12059592,Lil Uzi Vert,11821805.0,2020-03-01,67.0,0.719,0.611,-5.01,0.0403,0.0582,0.155,129.962,212354.0,0.489
Live Off My Closet (feat. Future),7410327,Lil Baby,7816213.0,2020-02-28,59.0,0.807,0.678,-3.244,0.177,0.0345,0.0986,147.004,173061.0,0.21
Commercial (feat. Lil Uzi Vert),6540577,Lil Baby,7816213.0,2020-02-28,67.0,0.892,0.486,-8.637,0.384,0.048,0.146,120.998,214215.0,0.535
Sum 2 Prove,6497610,Lil Baby,7816213.0,2020-01-10,71.0,0.823,0.552,-7.57,0.324,0.0174,0.122,124.038,205760.0,0.418
Filter,5913946,BTS,37151476.0,2020-02-21,79.0,0.781,0.762,-5.188,0.0626,0.0222,0.121,110.042,180221.0,0.86
Matrix,5724739,Apache 207,1674348.0,2020-02-24,55.0,0.789,0.509,-8.766,0.291,0.768,0.272,114.957,183793.0,0.418
Bellaquita - Remix,5676621,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",3600989.0,2019-11-22,67.0,0.795,0.715,-3.582,0.0838,0.141,0.179,165.941,304733.0,0.758
Infeliz,5490386,"Arcangel, Bad Bunny",6671084.0,2019-12-20,72.0,0.713,0.798,-3.147,0.219,0.366,0.246,176.073,221103.0,0.721
Que Tire Pa Lante,5436773,Daddy Yankee,23936368.0,2019-10-18,72.0,0.658,0.901,-2.814,0.0357,0.0478,0.12,93.979,210520.0,0.708
Futsal Shuffle 2020,5386512,Lil Uzi Vert,11821805.0,2019-12-12,67.0,0.881,0.457,-8.191,0.156,0.0327,0.231,136.97,198913.0,0.296
GOODMORNINGTOKYO!,5286044,TOKYO’S REVENGE,313480.0,2019-10-18,74.0,0.907,0.539,-7.782,0.36,0.0408,0.253,124.918,150115.0,0.664
Own It (feat. Ed Sheeran & Burna Boy),5273046,Stormzy,2317758.0,2019-12-13,72.0,0.817,0.781,-4.178,0.112,0.00838,0.123,104.0,216707.0,0.359
"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",5260351,Future,10491105.0,2020-02-15,61.0,0.81,0.566,-8.33,0.433,0.107,0.122,142.069,315346.0,0.582
