Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK,ADRO.JK,BBCA.JK,BBRI.JK
Date,,,,,,,,,,,,,,,,,,
2018-05-25,1482.5601806640625,4277.35498046875,2856.961181640625,1830.0,4510.0,3120.0,1875.0,4535.0,3130.0,1830.0,4475.0,3020.0,1860.0,4485.0,3090.0,45817600.0,63913500.0,192249700.0
2018-05-28,1474.458740234375,4334.259765625,2976.001220703125,1820.0,4570.0,3250.0,1860.0,4600.0,3290.0,1795.0,4480.0,3120.0,1800.0,4500.0,3130.0,47494600.0,64104500.0,186045100.0
2018-05-29,1474.458740234375,4334.259765625,2976.001220703125,1820.0,4570.0,3250.0,1820.0,4570.0,3250.0,1820.0,4570.0,3250.0,1820.0,4570.0,3250.0,0.0,0.0,0.0
2018-05-30,1482.5601806640625,4305.8076171875,2875.27490234375,1830.0,4540.0,3140.0,1880.0,4595.0,3280.0,1815.0,4490.0,3140.0,1820.0,4570.0,3250.0,82871200.0,109761500.0,306227900.0
2018-05-31,1527.1180419921875,4305.8076171875,2820.33349609375,1885.0,4540.0,3080.0,1930.0,4590.0,3190.0,1870.0,4490.0,3070.0,1875.0,4575.0,3170.0,196912100.0,178023000.0,312316900.0
2018-06-01,1527.1180419921875,4305.8076171875,2820.33349609375,1885.0,4540.0,3080.0,1885.0,4540.0,3080.0,1885.0,4540.0,3080.0,1885.0,4540.0,3080.0,0.0,0.0,0.0
2018-06-04,1595.9801025390625,4348.48681640625,2866.117919921875,1970.0,4585.0,3130.0,1975.0,4595.0,3170.0,1915.0,4560.0,3100.0,1915.0,4590.0,3150.0,113281500.0,89585000.0,211936400.0
2018-06-05,1644.588623046875,4310.54931640625,2847.804443359375,2030.0,4545.0,3110.0,2070.0,4585.0,3160.0,1990.0,4480.0,3090.0,2000.0,4560.0,3150.0,119456300.0,77233000.0,135979600.0
2018-06-06,1608.1322021484375,4367.45458984375,2884.431884765625,1985.0,4605.0,3150.0,2060.0,4630.0,3160.0,1985.0,4525.0,3090.0,2050.0,4545.0,3120.0,55595500.0,57913500.0,99509500.0
2018-06-07,1612.1829833984375,4357.970703125,2994.31494140625,1990.0,4595.0,3270.0,2030.0,4630.0,3270.0,1980.0,4580.0,3160.0,2000.0,4630.0,3180.0,70334500.0,40681500.0,183746200.0
2018-06-08,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,2030.0,4600.0,3250.0,1935.0,4420.0,3110.0,2010.0,4570.0,3210.0,76718600.0,170845000.0,262972300.0
2018-06-11,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-12,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-13,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-14,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-15,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-18,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-19,1567.6251220703125,4220.45068359375,2875.27490234375,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,1935.0,4450.0,3140.0,0.0,0.0,0.0
2018-06-20,1620.284423828125,4078.18798828125,2710.450439453125,2000.0,4300.0,2960.0,2000.0,4405.0,3030.0,1830.0,4230.0,2950.0,1870.0,4400.0,3020.0,140664700.0,253439000.0,355486900.0
2018-06-21,1628.3858642578125,4011.798583984375,2664.66552734375,2010.0,4230.0,2910.0,2020.0,4390.0,2990.0,1965.0,4230.0,2910.0,1990.0,4325.0,2950.0,75380200.0,90593500.0,135602900.0
2018-06-22,1563.5743408203125,4158.8037109375,2728.76416015625,1930.0,4385.0,2980.0,1990.0,4385.0,2980.0,1905.0,4220.0,2870.0,1990.0,4280.0,2900.0,69063400.0,96509500.0,211595500.0
2018-06-25,1514.9658203125,4210.9658203125,2646.35205078125,1870.0,4440.0,2890.0,1960.0,4495.0,3000.0,1865.0,4365.0,2870.0,1930.0,4385.0,2980.0,47119400.0,62513000.0,143039300.0
2018-06-26,1421.7996826171875,4054.47705078125,2582.25341796875,1755.0,4275.0,2820.0,1895.0,4460.0,2910.0,1755.0,4275.0,2810.0,1870.0,4420.0,2810.0,83866100.0,54763500.0,185812800.0
2018-06-27,1381.29248046875,4049.7353515625,2600.567138671875,1705.0,4270.0,2840.0,1805.0,4340.0,2880.0,1705.0,4270.0,2830.0,1770.0,4280.0,2880.0,101110700.0,67309500.0,133617400.0
2018-06-28,1348.8865966796875,3973.862060546875,2518.155029296875,1665.0,4190.0,2750.0,1750.0,4275.0,2850.0,1650.0,4185.0,2740.0,1690.0,4275.0,2820.0,94009700.0,118098500.0,197464500.0
2018-06-29,1450.154541015625,4073.445556640625,2600.567138671875,1790.0,4295.0,2840.0,1790.0,4295.0,2900.0,1665.0,4165.0,2780.0,1675.0,4190.0,2800.0,124197700.0,119188000.0,216878100.0
2018-07-02,1413.6982421875,4068.70361328125,2609.72412109375,1745.0,4290.0,2850.0,1820.0,4330.0,2910.0,1735.0,4285.0,2820.0,1810.0,4330.0,2890.0,53210900.0,59441500.0,151334600.0
2018-07-03,1393.4444580078125,3907.47314453125,2591.410400390625,1720.0,4120.0,2830.0,1770.0,4325.0,2860.0,1690.0,4120.0,2770.0,1760.0,4320.0,2850.0,45932000.0,73038000.0,88835200.0
2018-07-04,1433.9515380859375,4026.02490234375,2682.9794921875,1770.0,4245.0,2930.0,1780.0,4280.0,2950.0,1690.0,4140.0,2790.0,1710.0,4195.0,2830.0,35855500.0,61994500.0,128906900.0
2018-07-05,1478.5093994140625,4026.02490234375,2664.66552734375,1825.0,4245.0,2910.0,1835.0,4260.0,2920.0,1745.0,4200.0,2860.0,1770.0,4210.0,2890.0,47143600.0,34144000.0,63494300.0
2018-07-06,1446.103759765625,3969.120361328125,2600.567138671875,1785.0,4185.0,2840.0,1845.0,4210.0,2910.0,1775.0,4185.0,2840.0,1830.0,4195.0,2910.0,41555200.0,37609000.0,76368500.0
2018-07-09,1486.61083984375,4154.060546875,2756.23486328125,1835.0,4380.0,3010.0,1835.0,4400.0,3030.0,1795.0,4215.0,2860.0,1810.0,4240.0,2860.0,33991400.0,80049500.0,127889400.0
2018-07-10,1510.915283203125,4154.060546875,2792.86279296875,1865.0,4380.0,3050.0,1880.0,4400.0,3080.0,1830.0,4280.0,2980.0,1855.0,4370.0,3040.0,45734900.0,116639500.0,131641500.0
2018-07-11,1539.2701416015625,4234.67626953125,2737.921142578125,1900.0,4465.0,2990.0,1920.0,4490.0,3000.0,1820.0,4300.0,2950.0,1835.0,4300.0,3000.0,57214300.0,95570000.0,133041300.0
2018-07-12,1514.9658203125,4329.51806640625,2719.607421875,1870.0,4565.0,2970.0,1930.0,4580.0,3000.0,1865.0,4435.0,2950.0,1900.0,4440.0,2960.0,64182900.0,79008000.0,91682700.0
2018-07-13,1506.864501953125,4367.45458984375,2719.607421875,1860.0,4605.0,2970.0,1895.0,4615.0,3030.0,1825.0,4560.0,2960.0,1885.0,4600.0,2960.0,40511600.0,73936000.0,101916100.0
2018-07-16,1458.255859375,4386.4228515625,2719.607421875,1800.0,4625.0,2970.0,1860.0,4625.0,3010.0,1780.0,4580.0,2890.0,1830.0,4610.0,3000.0,58828800.0,71571000.0,86614100.0
2018-07-17,1425.850341796875,4310.54931640625,2628.037841796875,1760.0,4545.0,2870.0,1810.0,4600.0,2940.0,1755.0,4505.0,2860.0,1800.0,4585.0,2930.0,58751600.0,30322000.0,137087200.0
2018-07-18,1510.915283203125,4400.64892578125,2609.72412109375,1865.0,4640.0,2850.0,1865.0,4640.0,2900.0,1780.0,4590.0,2850.0,1790.0,4590.0,2870.0,87066600.0,80090500.0,114063400.0
